"id","active","date_created","description","image_url","last_updated","name","sku","unit_price","units_in_stock","category_id"
6,True,"2023-04-18 15:21:16.408206","Learn Python at your own pace. The author explains how the technology works in easy-to-understand language. This book includes working examples that you can apply to your own projects. Purchase the book and get started today!","assets/images/products/books/book-luv2code-1000.png",NULL,"Crash Course in Python","BOOK-TECH-1000",14.99,100,1
7,True,"2023-04-18 15:21:16.408206","Learn JavaScript at your own pace. The author explains how the technology works in easy-to-understand language. This book includes working examples that you can apply to your own projects. Purchase the book and get started today!","assets/images/products/books/book-luv2code-1001.png",NULL,"Become a Guru in JavaScript","BOOK-TECH-1001",20.99,100,1
8,True,"2023-04-18 15:21:16.408206","Learn Vue.js at your own pace. The author explains how the technology works in easy-to-understand language. This book includes working examples that you can apply to your own projects. Purchase the book and get started today!","assets/images/products/books/book-luv2code-1002.png",NULL,"Exploring Vue.js","BOOK-TECH-1002",14.99,100,1
9,True,"2023-04-18 15:21:16.408206","Learn Big Data at your own pace. The author explains how the technology works in easy-to-understand language. This book includes working examples that you can apply to your own projects. Purchase the book and get started today!","assets/images/products/books/book-luv2code-1003.png",NULL,"Advanced Techniques in Big Data","BOOK-TECH-1003",13.99,100,1
10,True,"2023-04-18 15:21:16.408206","Learn Big Data at your own pace. The author explains how the technology works in easy-to-understand language. This book includes working examples that you can apply to your own projects. Purchase the book and get started today!","assets/images/products/books/book-luv2code-1004.png",NULL,"Crash Course in Big Data","BOOK-TECH-1004",18.99,100,1
11,True,"2023-04-18 15:21:16.408206","Learn JavaScript at your own pace. The author explains how the technology works in easy-to-understand language. This book includes working examples that you can apply to your own projects. Purchase the book and get started today!","assets/images/products/books/book-luv2code-1005.png",NULL,"JavaScript Cookbook","BOOK-TECH-1005",23.99,100,1
12,True,"2023-04-18 15:21:16.408206","Learn SQL at your own pace. The author explains how the technology works in easy-to-understand language. This book includes working examples that you can apply to your own projects. Purchase the book and get started today!","assets/images/products/books/book-luv2code-1006.png",NULL,"Beginners Guide to SQL","BOOK-TECH-1006",14.99,100,1
13,True,"2023-04-18 15:21:16.408206","Learn JavaScript at your own pace. The author explains how the technology works in easy-to-understand language. This book includes working examples that you can apply to your own projects. Purchase the book and get started today!","assets/images/products/books/book-luv2code-1007.png",NULL,"Advanced Techniques in JavaScript","BOOK-TECH-1007",16.99,100,1
14,True,"2023-04-18 15:21:16.408206","Learn Spring Boot at your own pace. The author explains how the technology works in easy-to-understand language. This book includes working examples that you can apply to your own projects. Purchase the book and get started today!","assets/images/products/books/book-luv2code-1008.png",NULL,"Introduction to Spring Boot","BOOK-TECH-1008",25.99,100,1
15,True,"2023-04-18 15:21:16.408206","Learn React.js at your own pace. The author explains how the technology works in easy-to-understand language. This book includes working examples that you can apply to your own projects. Purchase the book and get started today!","assets/images/products/books/book-luv2code-1009.png",NULL,"Become a Guru in React.js","BOOK-TECH-1009",23.99,100,1
